concentration,bloc_correlation,bias_std,mean_expertise,panel_size,n_items,seed,n_trios,eie_error,mv_error,mean_abs_pair_corr
0.2,0.9,0.3,0.75,6,300,18,6,0.15442195154712784,0.13710968158651435,0.04361983922614265
0.2,0.9,0.3,0.75,6,300,19,6,0.12558026489123794,0.11180858033901538,0.03774981604076778
0.2,0.9,0.3,0.75,6,300,20,6,0.20812572536576016,0.16702601200881614,0.13476426909085945
0.2,0.9,0.3,0.75,6,300,21,6,0.14941707467937582,0.13596446780538915,0.04631695137381373
0.2,0.9,0.3,0.75,6,300,22,6,0.14121793900442783,0.11905870739769141,0.011901973658917583
0.2,0.9,0.3,0.75,6,300,23,6,0.1134299880158275,0.10731105756579024,0.11452030903508974
0.2,0.9,0.5,0.65,6,300,0,2,0.2614045903928791,0.27707780629213097,0.06101150616496598
0.2,0.9,0.5,0.65,6,300,1,6,0.12504549438787504,0.12340564552251333,0.012735017885087095
0.2,0.9,0.5,0.65,6,300,2,2,0.3408238744502155,0.2900125388592907,0.14822261519766355
0.2,0.9,0.5,0.65,6,300,3,6,0.229408448333556,0.18264234038010105,0.1539142814222549
0.2,0.9,0.5,0.65,6,300,4,6,0.19037645447882834,0.1305122724951828,0.018561091802973707
0.2,0.9,0.5,0.65,6,300,5,1,0.24825512517789147,0.25595289072797767,0.13209243668559636
0.2,0.9,0.5,0.65,6,300,6,0,nan,nan,nan
0.2,0.9,0.5,0.65,6,300,7,5,0.1587926957647339,0.1603415845493057,0.0525131858250239
0.2,0.9,0.5,0.65,6,300,8,0,nan,nan,nan
0.2,0.9,0.5,0.65,6,300,9,6,0.2886026909068375,0.22658569312489207,0.05033237933176621
0.2,0.9,0.5,0.65,6,300,10,6,0.20623374443405065,0.19718340522226063,0.009756706561857755
0.2,0.9,0.5,0.65,6,300,11,3,0.25426970734447957,0.18410584750666056,0.05989480765405784
0.2,0.9,0.5,0.65,6,300,12,5,0.18088950892930056,0.1878218219797078,0.1309387180036268
0.2,0.9,0.5,0.65,6,300,13,1,0.22361482356945125,0.25038793083118394,0.06015182924046745
0.2,0.9,0.5,0.65,6,300,14,6,0.23017772600546238,0.16342876314895252,0.1369904996256645
0.2,0.9,0.5,0.65,6,300,15,6,0.22910172351726674,0.1933318584040674,0.011501834033441993
0.2,0.9,0.5,0.65,6,300,16,0,nan,nan,nan
0.2,0.9,0.5,0.65,6,300,17,2,0.5856970283069769,0.2731618238019399,0.015725925925925924
0.2,0.9,0.5,0.65,6,300,18,6,0.21600596312586426,0.2007984685448961,0.05769544661772227
0.2,0.9,0.5,0.65,6,300,19,1,0.23654951289104056,0.22381682995434726,0.04335036653131235
0.2,0.9,0.5,0.65,6,300,20,3,0.23015405284351406,0.19672371961888027,0.14858571691816302
0.2,0.9,0.5,0.65,6,300,21,3,0.25437540762967353,0.2188405755814802,0.13029031775724395
0.2,0.9,0.5,0.65,6,300,22,2,0.25234140978810665,0.1730447649742691,0.015224512596560026
0.2,0.9,0.5,0.65,6,300,23,1,0.2802699999582024,0.30059228722935716,0.1369395564014588
0.2,0.9,0.5,0.75,6,300,0,4,0.1793805744824341,0.1159934463574433,0.011202566964285713
0.2,0.9,0.5,0.75,6,300,1,6,0.10674644426363672,0.10603521995519892,0.008554544324162349
0.2,0.9,0.5,0.75,6,300,2,4,0.17793861398309066,0.17053532004233798,0.048560959185735886
0.2,0.9,0.5,0.75,6,300,3,6,0.12528734821093437,0.13140347683325407,0.006518196504464435
0.2,0.9,0.5,0.75,6,300,4,6,0.09534764116029891,0.07414174466396725,0.011766164604820946
0.2,0.9,0.5,0.75,6,300,5,6,0.1552358782546843,0.15923618905365425,0.09815791520102408
